,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
55,0.979840243,0.993402451,0.958181818,0.975474317,0.659574468,0.608888889,0.501831502,0.550200803
56,0.98630658,1,0.967272727,0.98336414,0.635258359,0.579710145,0.43956044,0.5
57,0.983263598,0.997175141,0.962727273,0.979648474,0.645896657,0.596153846,0.454212454,0.515592516
58,0.977177634,0.992424242,0.952727273,0.972170686,0.641337386,0.592039801,0.435897436,0.502109705
59,0.985926208,0.996265173,0.97,0.982957163,0.659574468,0.619512195,0.465201465,0.531380753
60,0.981361734,0.99342723,0.961818182,0.977367206,0.639817629,0.59375,0.417582418,0.490322581
61,0.983643971,0.995313964,0.965454545,0.980156899,0.642857143,0.609195402,0.388278388,0.474272931
62,0.978699125,0.991525424,0.957272727,0.974098057,0.647416413,0.604060914,0.435897436,0.506382979
63,0.979840243,0.999046711,0.952727273,0.975337366,0.638297872,0.592592593,0.41025641,0.484848485
64,0.97793838,0.997137405,0.95,0.972998138,0.653495441,0.610837438,0.454212454,0.521008403
65,0.981361734,0.995287465,0.96,0.977325312,0.642857143,0.587962963,0.465201465,0.519427403
66,0.979079498,0.995260664,0.954545455,0.974477958,0.6443769,0.605405405,0.41025641,0.489082969
67,0.983643971,0.996244131,0.964545455,0.980138568,0.633738602,0.58,0.424908425,0.490486258
68,0.981361734,0.99342723,0.961818182,0.977367206,0.659574468,0.620689655,0.461538462,0.529411765
69,0.982883226,0.993451824,0.965454545,0.979253112,0.6443769,0.592417062,0.457875458,0.516528926
70,0.979079498,0.99620133,0.953636364,0.97445425,0.659574468,0.620689655,0.461538462,0.529411765
71,0.982502853,0.991604478,0.966363636,0.978821363,0.633738602,0.578431373,0.432234432,0.49475891
72,0.983263598,0.996240602,0.963636364,0.979667283,0.635258359,0.582089552,0.428571429,0.493670886
73,0.979079498,0.994323557,0.955454545,0.974501623,0.651975684,0.607843137,0.454212454,0.519916143
74,0.97793838,0.995247148,0.951818182,0.973048327,0.653495441,0.619047619,0.428571429,0.506493506
75,0.983263598,0.993457944,0.966363636,0.979723502,0.647416413,0.608465608,0.421245421,0.497835498
76,0.978699125,0.993383743,0.955454545,0.974050046,0.636778116,0.584158416,0.432234432,0.496842105
77,0.978699125,0.994318182,0.954545455,0.974025974,0.656534954,0.61928934,0.446886447,0.519148936
78,0.976036516,0.993339676,0.949090909,0.970711297,0.636778116,0.581730769,0.443223443,0.503118503
79,0.982502853,0.998109641,0.96,0.978683967,0.665653495,0.633165829,0.461538462,0.533898305
80,0.978699125,0.994318182,0.954545455,0.974025974,0.64893617,0.605,0.443223443,0.511627907
81,0.979840243,0.996208531,0.955454545,0.975406032,0.641337386,0.594871795,0.424908425,0.495726496
82,0.981742107,0.991588785,0.964545455,0.977880184,0.64893617,0.607142857,0.435897436,0.507462687
83,0.974134652,0.993307839,0.944545455,0.968313141,0.627659574,0.573684211,0.399267399,0.470842333
84,0.98212248,0.995296331,0.961818182,0.97827092,0.633738602,0.58,0.424908425,0.490486258
85,0.977558007,0.995242626,0.950909091,0.972570897,0.641337386,0.594871795,0.424908425,0.495726496
86,0.982502853,0.991604478,0.966363636,0.978821363,0.639817629,0.586538462,0.446886447,0.507276507
87,0.979459871,0.995265152,0.955454545,0.974953618,0.664133739,0.62745098,0.468864469,0.536687631
88,0.984785089,0.997185741,0.966363636,0.981532779,0.647416413,0.613259669,0.406593407,0.488986784
89,0.981742107,0.996226415,0.96,0.977777778,0.638297872,0.583732057,0.446886447,0.506224066
90,0.975656143,0.993333333,0.948181818,0.970232558,0.641337386,0.592039801,0.435897436,0.502109705
91,0.978318752,0.992445703,0.955454545,0.973598888,0.632218845,0.572769953,0.446886447,0.502057613
92,0.983643971,0.997177799,0.963636364,0.980120203,0.658054711,0.604347826,0.509157509,0.552683897
93,0.979459871,0.997148289,0.953636364,0.974907063,0.661094225,0.62254902,0.465201465,0.532494759
94,0.978318752,0.994312796,0.953636364,0.973549884,0.653495441,0.611940299,0.450549451,0.518987342
95,0.979459871,0.995265152,0.955454545,0.974953618,0.647416413,0.600985222,0.446886447,0.512605042
96,0.982502853,0.994371482,0.963636364,0.978762696,0.645896657,0.603092784,0.428571429,0.501070664
97,0.983643971,0.999055713,0.961818182,0.980083372,0.633738602,0.587912088,0.391941392,0.47032967
98,0.980600989,0.998100665,0.955454545,0.976312123,0.653495441,0.619047619,0.428571429,0.506493506
99,0.979459871,0.994328922,0.956363636,0.97497683,0.632218845,0.574879227,0.435897436,0.495833333
