,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test),,total,train,test
75,0.986354408,0.996944557,0.965930416,0.981192469,0.747651801,0.732048026,0.505258964,0.597869131,,,,
76,0.986036381,0.996890322,0.965117563,0.980746678,0.749160565,0.736823735,0.504621514,0.599006857,,,,
77,0.986047475,0.99709652,0.964946964,0.980758345,0.748154722,0.734246257,0.504143426,0.597817357,,,,
78,0.986043777,0.996869785,0.965157704,0.980757465,0.74920494,0.735527153,0.506693227,0.600033026,,,,
79,0.98635071,0.996862185,0.966000662,0.98118881,0.751275793,0.74015885,0.508645418,0.602942218,,,,
80,0.985847783,0.996940215,0.96455559,0.980480565,0.750033282,0.735674464,0.509960159,0.602367115,,,,
81,0.985685072,0.996887256,0.964164216,0.98025272,0.74485615,0.730572687,0.495537849,0.59052819,,,,
82,0.985747937,0.996805344,0.964415097,0.980342752,0.749663486,0.737205524,0.506175299,0.600226768,,,,
83,0.986206488,0.996737408,0.965729711,0.980988593,0.74862806,0.735804049,0.503864542,0.598136587,,,,
84,0.986376596,0.997109497,0.965830064,0.981220562,0.748657644,0.735341925,0.504661355,0.59854463,,,,
85,0.986343314,0.996954756,0.965890275,0.981176698,0.750772872,0.737959278,0.509721116,0.602964394,,,,
86,0.986091851,0.996870207,0.965288161,0.980825019,0.750062865,0.736574955,0.50876494,0.601833306,,,,
87,0.986010495,0.996972525,0.964967034,0.980708724,0.748938688,0.738818689,0.500836653,0.596984447,,,,
88,0.986302636,0.997263483,0.965478831,0.981113797,0.749278899,0.737360205,0.504342629,0.598987414,,,,
89,0.985869971,0.99684765,0.964706118,0.980513553,0.750329118,0.739469851,0.505697211,0.600638826,,,,
90,0.986217582,0.996737509,0.965759817,0.981004174,0.748539309,0.735492499,0.503944223,0.598089744,,,,
91,0.986117737,0.997045561,0.965187809,0.980858072,0.749456401,0.737046933,0.505537849,0.599725872,,,,
92,0.985980911,0.996519217,0.965328302,0.980675811,0.748317432,0.735453434,0.503067729,0.597459131,,,,
93,0.985869971,0.996950714,0.964605766,0.980511565,0.746808668,0.732428813,0.501115538,0.595084333,,,,
94,0.986247166,0.997283679,0.965308232,0.981035476,0.747622217,0.730156912,0.507968127,0.599125981,,,,
95,0.986169509,0.996654756,0.965709641,0.980938207,0.750107241,0.739297795,0.50501992,0.600104152,,,,
96,0.985588924,0.996680222,0.964104005,0.980121505,0.748568893,0.735468496,0.504103586,0.598194024,,,,
97,0.985784917,0.996949986,0.964374956,0.980391957,0.74911619,0.738024215,0.502709163,0.598051994,,,,
98,0.986557798,0.997028616,0.966402071,0.98147648,0.751556838,0.739363542,0.510956175,0.604297225,,,,
99,0.986298938,0.996697107,0.966020733,0.981119191,0.750122032,0.737677382,0.507410359,0.601251033,,,,
100,0.985796011,0.996764559,0.964585696,0.980411157,0.747918053,0.734189723,0.503227092,0.597153933,,,,
101,0.986217582,0.996943385,0.965559112,0.981000301,0.748716811,0.735923685,0.504063745,0.598316466,,,,
102,0.985999401,0.996869396,0.965037281,0.980695099,0.750905998,0.739976758,0.507370518,0.601985346,,,,
103,0.986162113,0.997004716,0.965348373,0.980921207,0.751645588,0.739812998,0.510677291,0.60425211,,,,
104,0.986047475,0.996849219,0.965187809,0.980763054,0.749722654,0.736334219,0.507689243,0.600999859,,,,
105,0.985992005,0.997188884,0.964706118,0.980678595,0.745980327,0.729276335,0.502270916,0.594852195,,,,
106,0.986291542,0.996892544,0.965809993,0.981105148,0.750802455,0.738071886,0.509681275,0.6029741,,,,
107,0.985869971,0.996672541,0.964876717,0.980516931,0.746246579,0.731457204,0.500159363,0.594089393,,,,
