,precision_score(train),recall_score(train),accuracy_score(train),f1_score(train),precision_score(test),recall_score(test),accuracy_score(test),f1_score(test)
744,0.9933142311365807,0.959409594095941,0.9806009889691898,0.9760675739089629,0.6525821596244131,0.4809688581314879,0.6595744680851063,0.5537848605577689
745,0.9961501443695862,0.9547970479704797,0.9798402434385698,0.9750353273669337,0.6810810810810811,0.4359861591695502,0.662613981762918,0.5316455696202531
746,0.9952015355086372,0.9566420664206642,0.9802206162038798,0.9755409219190969,0.6666666666666666,0.45674740484429066,0.6610942249240122,0.5420944558521561
747,0.9971209213051824,0.9584870848708487,0.9817421072651198,0.9774223894637818,0.6935483870967742,0.4463667820069204,0.6702127659574468,0.5431578947368422
748,0.9952107279693486,0.9584870848708487,0.9809813617344998,0.9765037593984962,0.6830601092896175,0.43252595155709345,0.662613981762918,0.5296610169491525
749,0.9941860465116279,0.9464944649446494,0.9756561430201598,0.9697542533081285,0.7039106145251397,0.4359861591695502,0.6717325227963525,0.5384615384615384
750,0.9942307692307693,0.9538745387453874,0.9786991251426398,0.9736346516007534,0.6461538461538462,0.4359861591695502,0.6474164133738601,0.5206611570247934
751,0.9932627526467758,0.9520295202952029,0.9775580068467098,0.9722091380122468,0.656084656084656,0.4290657439446367,0.6504559270516718,0.5188284518828451
752,0.9952107279693486,0.9584870848708487,0.9809813617344998,0.9765037593984962,0.6666666666666666,0.4290657439446367,0.6550151975683891,0.5221052631578947
753,0.9933269780743565,0.9612546125461254,0.9813617344998098,0.9770276605719643,0.6746411483253588,0.48788927335640137,0.6717325227963525,0.5662650602409638
754,0.9923076923076923,0.9520295202952029,0.9771776340813998,0.9717514124293786,0.6666666666666666,0.4429065743944637,0.6580547112462006,0.5322245322245323
755,0.9980676328502416,0.9529520295202952,0.9798402434385698,0.974988201982067,0.6432432432432432,0.4117647058823529,0.6413373860182371,0.5021097046413502
756,0.9923371647509579,0.955719557195572,0.9786991251426398,0.9736842105263158,0.6593406593406593,0.41522491349480967,0.648936170212766,0.5095541401273884
757,0.9970845481049563,0.9464944649446494,0.9767972613160898,0.9711310932323711,0.6684782608695652,0.42560553633217996,0.6550151975683891,0.5200845665961945
758,0.9933078393881453,0.9584870848708487,0.9802206162038798,0.975586854460094,0.6648936170212766,0.43252595155709345,0.6550151975683891,0.5241090146750523
759,0.9961501443695862,0.9547970479704797,0.9798402434385698,0.9750353273669337,0.649746192893401,0.4429065743944637,0.6504559270516718,0.5267489711934157
760,0.9980787704130644,0.9584870848708487,0.9821224800304298,0.9778823529411765,0.6519607843137255,0.4602076124567474,0.6550151975683891,0.5395537525354969
761,0.9980787704130644,0.9584870848708487,0.9821224800304298,0.9778823529411765,0.6830601092896175,0.43252595155709345,0.662613981762918,0.5296610169491525
762,0.9951783992285439,0.9520295202952029,0.9783187523773298,0.9731258840169732,0.6492146596858639,0.4290657439446367,0.6474164133738601,0.5166666666666667
763,0.9952198852772467,0.9603321033210332,0.9817421072651198,0.9774647887323944,0.6262626262626263,0.4290657439446367,0.6367781155015197,0.509240246406571
764,0.9961389961389961,0.9520295202952029,0.9786991251426398,0.9735849056603774,0.6892655367231638,0.42214532871972316,0.662613981762918,0.5236051502145923
