,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
220,0.995,1,0.984644914,0.992263056,0.91,0.963302752,0.766423358,0.853658537
221,0.994375,0.998054475,0.984644914,0.991304348,0.8875,0.950980392,0.708029197,0.811715481
222,0.9975,1,0.992322457,0.996146435,0.895,0.943925234,0.737226277,0.827868852
223,0.993125,1,0.978886756,0.989330747,0.8875,0.979166667,0.686131387,0.806866953
224,0.9925,1,0.97696737,0.988349515,0.89,1,0.678832117,0.808695652
225,0.9925,0.998043053,0.978886756,0.988372093,0.87,0.947368421,0.656934307,0.775862069
226,0.998125,1,0.994241843,0.997112608,0.8925,0.927272727,0.744525547,0.825910931
227,0.995625,1,0.986564299,0.993236715,0.8675,0.903846154,0.686131387,0.780082988
228,0.99625,0.998065764,0.990403071,0.994219653,0.885,0.933333333,0.715328467,0.809917355
229,0.99625,1,0.988483685,0.994208494,0.905,0.962616822,0.751824818,0.844262295
230,0.996875,1,0.990403071,0.995178399,0.8975,0.98,0.715328467,0.827004219
231,0.995,1,0.984644914,0.992263056,0.885,0.941747573,0.708029197,0.808333333
232,0.9975,1,0.992322457,0.996146435,0.905,0.962616822,0.751824818,0.844262295
233,0.994375,0.998054475,0.984644914,0.991304348,0.8775,0.931372549,0.693430657,0.794979079
234,0.995,0.998058252,0.986564299,0.992277992,0.88,0.900900901,0.729927007,0.806451613
235,0.994375,0.998054475,0.984644914,0.991304348,0.8675,0.911764706,0.678832117,0.778242678
236,0.99375,0.998050682,0.982725528,0.99032882,0.905,0.95412844,0.759124088,0.845528455
237,0.995625,0.998062016,0.988483685,0.993249759,0.8925,0.935185185,0.737226277,0.824489796
238,0.9975,1,0.992322457,0.996146435,0.905,0.980582524,0.737226277,0.841666667
239,0.995,0.994219653,0.990403071,0.992307692,0.895,0.935779817,0.744525547,0.829268293
240,0.99375,1,0.980806142,0.990310078,0.88,0.940594059,0.693430657,0.798319328
241,0.99375,1,0.980806142,0.990310078,0.875,0.922330097,0.693430657,0.791666667
242,0.996875,1,0.990403071,0.995178399,0.8825,0.894736842,0.744525547,0.812749004
243,0.9975,1,0.992322457,0.996146435,0.905,0.962616822,0.751824818,0.844262295
244,0.9975,1,0.992322457,0.996146435,0.9,0.961904762,0.737226277,0.834710744
245,0.991875,0.998039216,0.97696737,0.987390883,0.8825,0.95,0.693430657,0.801687764
246,0.998125,1,0.994241843,0.997112608,0.9075,0.931034483,0.788321168,0.853754941
247,0.995,1,0.984644914,0.992263056,0.885,0.941747573,0.708029197,0.808333333
248,0.998125,1,0.994241843,0.997112608,0.8975,0.961538462,0.729927007,0.829875519
249,0.99625,1,0.988483685,0.994208494,0.9,0.961904762,0.737226277,0.834710744
250,0.99625,1,0.988483685,0.994208494,0.9,0.961904762,0.737226277,0.834710744
251,0.993125,0.998046875,0.980806142,0.989351404,0.8925,0.989583333,0.693430657,0.815450644
252,0.995,1,0.984644914,0.992263056,0.9,0.961904762,0.737226277,0.834710744
253,0.994375,1,0.982725528,0.991287512,0.9025,0.980392157,0.729927007,0.836820084
254,0.99875,1,0.996161228,0.998076923,0.91,0.963302752,0.766423358,0.853658537
255,0.9975,1,0.992322457,0.996146435,0.885,0.90990991,0.737226277,0.814516129
256,0.99875,1,0.996161228,0.998076923,0.905,0.962616822,0.751824818,0.844262295
257,0.995625,1,0.986564299,0.993236715,0.8925,0.960784314,0.715328467,0.820083682
258,0.994375,0.998054475,0.984644914,0.991304348,0.8925,0.951923077,0.722627737,0.821576763
259,0.99625,1,0.988483685,0.994208494,0.92,0.981651376,0.781021898,0.869918699
260,0.995625,0.996138996,0.990403071,0.993262753,0.8925,0.927272727,0.744525547,0.825910931
