,train_accuracy_score,train_reccall_score,train_precision_score,train_f1_score,test_accuracy_score,test_reccall_score,test_precision_score,test_f1_score
254,0.9939143664420778,0.9959486833220796,0.9853039412157648,0.9905977165883142,0.9097820577800304,0.888268156424581,0.8016806722689076,0.842756183745583
255,0.9939143664420778,1.0,0.9812959251837008,0.99055967633176,0.8996452103395844,0.8869395711500975,0.7647058823529411,0.8212996389891697
256,0.9921756139969572,0.9993164730006835,0.9766199064796259,0.987837837837838,0.8945767866193614,0.9022869022869023,0.7294117647058823,0.8066914498141263
257,0.9956531188871984,0.9986495611073599,0.9879759519038076,0.9932840832773674,0.915864166244298,0.9117082533589251,0.7983193277310925,0.8512544802867383
258,0.991740925885677,0.9972733469665985,0.9772879091516367,0.9871794871794872,0.8986315255955398,0.9022403258655805,0.7445378151260504,0.8158379373848986
259,0.9936970223864378,0.9993197278911564,0.9812959251837008,0.9902258173238963,0.8940699442473391,0.8799212598425197,0.7512605042016807,0.8105167724388033
260,0.9919582699413171,0.9993160054719562,0.9759519038076152,0.9874957755998648,0.8940699442473391,0.8954918032786885,0.7344537815126051,0.8070175438596492
261,0.9936970223864378,0.9979647218453188,0.9826319305277221,0.9902389767754964,0.9001520527116067,0.8917322834645669,0.761344537815126,0.8213961922030825
262,0.9936970223864378,0.997289972899729,0.9832999331997327,0.9902455432223343,0.9031931069437404,0.9007936507936508,0.7630252100840336,0.8262056414922657
263,0.9926103021082373,0.9993174061433447,0.9779559118236473,0.988521269412559,0.9067410035478966,0.8944337811900192,0.7831932773109244,0.8351254480286738
264,0.9934796783307976,0.9972881355932204,0.9826319305277221,0.9899057873485868,0.9047136340598074,0.9013806706114399,0.7680672268907563,0.8294010889292196
265,0.9952184307759183,1.0,0.9853039412157648,0.9925975773889636,0.9087683730359858,0.9029126213592233,0.7815126050420168,0.8378378378378379
266,0.9934796783307976,1.0,0.9799599198396793,0.9898785425101214,0.9077546882919412,0.9121756487025948,0.7680672268907563,0.833941605839416
267,0.9910888937187567,0.9972677595628415,0.9752839011356046,0.9861533265788586,0.8950836289913837,0.8943089430894309,0.7394957983193278,0.8095676172953082
268,0.9956531188871984,1.0,0.9866399465597863,0.9932750504371217,0.910795742524075,0.9067961165048544,0.7848739495798319,0.8414414414414414
269,0.9939143664420778,0.9993201903467029,0.9819639278557114,0.9905660377358491,0.8966041561074506,0.8781431334622823,0.7630252100840336,0.8165467625899281
270,0.9936970223864378,1.0,0.9806279225116901,0.9902192242833052,0.9072478459199189,0.8992248062015504,0.7798319327731092,0.8352835283528353
271,0.9926103021082373,0.9972807613868117,0.9799599198396793,0.988544474393531,0.9067410035478966,0.8959537572254336,0.7815126050420168,0.8348294434470377
