,Tester,Cols,rows,count,n_estimators,max_features,min_samples_leaf,max_leaf_nodes,max_depth,accuracy(train),precision(train),recall(train),f1(train),accuracy(test),precision(test),recall(test),f1(test)
0,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,5,,,0.856,0.926,0.577,0.711,0.772,0.74,0.393,0.514
1,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,10,,,0.807,0.851,0.451,0.59,0.763,0.725,0.36,0.481
2,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,15,,,0.791,0.812,0.414,0.549,0.761,0.722,0.353,0.474
3,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,20,,,0.78,0.789,0.387,0.519,0.757,0.717,0.34,0.461
4,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,25,,,0.773,0.776,0.366,0.498,0.755,0.715,0.33,0.451
5,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,30,,,0.769,0.763,0.359,0.488,0.753,0.709,0.325,0.446
6,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,35,,,0.764,0.75,0.348,0.476,0.75,0.7,0.32,0.439
7,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,40,,,0.762,0.746,0.339,0.466,0.749,0.7,0.313,0.433
8,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,45,,,0.759,0.742,0.332,0.459,0.748,0.7,0.307,0.427
9,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,50,,,0.758,0.736,0.329,0.455,0.748,0.698,0.309,0.428
10,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,55,,,0.756,0.735,0.323,0.449,0.747,0.701,0.303,0.423
11,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,60,,,0.755,0.734,0.316,0.442,0.747,0.701,0.298,0.418
12,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,65,,,0.753,0.726,0.317,0.442,0.746,0.695,0.301,0.42
13,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,70,,,0.753,0.722,0.319,0.442,0.746,0.694,0.304,0.423
14,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,75,,,0.751,0.72,0.309,0.432,0.744,0.69,0.293,0.411
15,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,80,,,0.751,0.722,0.31,0.434,0.745,0.695,0.296,0.415
16,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,85,,,0.75,0.719,0.304,0.427,0.744,0.693,0.29,0.409
17,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,90,,,0.749,0.715,0.302,0.425,0.743,0.689,0.289,0.407
18,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,95,,,0.748,0.716,0.298,0.421,0.742,0.691,0.284,0.403
19,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,5,,,0.894,0.952,0.692,0.801,0.785,0.753,0.444,0.559
20,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,10,,,0.838,0.88,0.545,0.674,0.776,0.733,0.419,0.533
21,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,15,,,0.814,0.836,0.49,0.618,0.772,0.729,0.405,0.521
22,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,20,,,0.8,0.811,0.456,0.584,0.769,0.726,0.394,0.511
23,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,25,,,0.792,0.792,0.44,0.566,0.767,0.72,0.39,0.506
24,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,30,,,0.786,0.78,0.425,0.55,0.766,0.718,0.385,0.501
25,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,35,,,0.782,0.766,0.416,0.539,0.764,0.713,0.382,0.497
26,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,40,,,0.778,0.761,0.407,0.53,0.762,0.711,0.375,0.491
27,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,45,,,0.775,0.752,0.4,0.522,0.761,0.707,0.373,0.489
28,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,50,,,0.772,0.748,0.391,0.514,0.759,0.705,0.365,0.481
29,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,55,,,0.771,0.744,0.39,0.512,0.759,0.703,0.366,0.482
30,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,60,,,0.769,0.739,0.383,0.504,0.758,0.703,0.362,0.478
31,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,65,,,0.767,0.733,0.381,0.501,0.757,0.698,0.36,0.475
32,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,70,,,0.766,0.731,0.378,0.498,0.757,0.7,0.358,0.474
33,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,75,,,0.765,0.728,0.375,0.495,0.756,0.697,0.357,0.472
34,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,80,,,0.763,0.725,0.367,0.488,0.755,0.696,0.35,0.466
35,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,85,,,0.762,0.722,0.364,0.484,0.753,0.692,0.347,0.462
36,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,90,,,0.762,0.721,0.365,0.485,0.754,0.694,0.351,0.466
37,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,2,95,,,0.761,0.716,0.366,0.485,0.754,0.692,0.353,0.467
38,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,5,,,0.914,0.963,0.75,0.843,0.791,0.755,0.468,0.578
39,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,10,,,0.854,0.897,0.592,0.713,0.783,0.744,0.44,0.553
40,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,15,,,0.826,0.852,0.526,0.65,0.778,0.736,0.429,0.542
41,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,20,,,0.811,0.824,0.489,0.614,0.775,0.731,0.417,0.531
42,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,25,,,0.802,0.806,0.467,0.591,0.772,0.725,0.41,0.524
43,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,30,,,0.795,0.791,0.453,0.576,0.771,0.723,0.404,0.519
44,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,35,,,0.79,0.78,0.439,0.562,0.768,0.718,0.399,0.513
45,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,40,,,0.785,0.769,0.43,0.551,0.767,0.716,0.395,0.509
46,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,45,,,0.782,0.761,0.423,0.544,0.766,0.713,0.393,0.507
47,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,50,,,0.779,0.756,0.416,0.537,0.765,0.711,0.388,0.502
48,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,55,,,0.777,0.751,0.409,0.53,0.763,0.707,0.383,0.497
49,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,60,,,0.775,0.745,0.407,0.527,0.763,0.707,0.386,0.5
50,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,65,,,0.773,0.741,0.403,0.522,0.762,0.704,0.381,0.494
51,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,70,,,0.772,0.738,0.398,0.517,0.761,0.702,0.377,0.491
52,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,75,,,0.77,0.734,0.395,0.513,0.76,0.702,0.376,0.49
53,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,80,,,0.769,0.731,0.392,0.51,0.759,0.699,0.374,0.487
54,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,3,85,,,0.768,0.728,0.391,0.509,0.759,0.698,0.373,0.486
