,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
488,0.986380294,0.981254803,0.758227942,0.61959178
489,0.986420972,0.981310314,0.759352119,0.620459582
490,0.986576288,0.981525589,0.760594631,0.622331117
491,0.986539308,0.981473753,0.760165668,0.622772323
492,0.985966119,0.980674926,0.758035648,0.618338777
493,0.98648014,0.981396106,0.759721914,0.622337952
494,0.986151019,0.980933228,0.760491088,0.623214036
495,0.986287844,0.981126697,0.760905258,0.62437256
496,0.986528214,0.981466125,0.759455662,0.622411071
497,0.986073361,0.980824261,0.759426078,0.620832751
498,0.986694623,0.98169348,0.760062126,0.621738218
499,0.986391388,0.981266544,0.76018046,0.622417849
500,0.986210186,0.981014688,0.759588788,0.619892888
501,0.986531912,0.981463196,0.759618371,0.622096133
502,0.986432066,0.981319023,0.75927816,0.619659718
503,0.986291542,0.981133036,0.760579839,0.622879776
504,0.986457952,0.981361402,0.759573996,0.623156821
505,0.986210186,0.981014108,0.760964426,0.624098628
506,0.986509724,0.981426608,0.759899416,0.620747664
507,0.986402482,0.98128153,0.760032542,0.622290517
508,0.986280448,0.981115941,0.760698173,0.622943178
509,0.98635071,0.981211026,0.759899416,0.622089775
510,0.986032683,0.980759336,0.760949634,0.623646399
511,0.986287844,0.981127658,0.759573996,0.621189522
512,0.98668353,0.981676445,0.760284003,0.621071829
513,0.986128831,0.980897234,0.759381703,0.619494281
514,0.986199093,0.981001059,0.759869832,0.620895801
515,0.9863692,0.981235619,0.75944087,0.622344008
516,0.986280448,0.981111326,0.757843355,0.617705439
517,0.986017891,0.980742099,0.760698173,0.621885664
518,0.986753791,0.981776371,0.759795873,0.621159454
519,0.986531912,0.981460554,0.760106501,0.621675842
520,0.986417274,0.981302845,0.760136085,0.623059042
521,0.98640618,0.981286335,0.759840249,0.621891011
522,0.986435764,0.981326871,0.761689224,0.62592584
523,0.986483838,0.981396935,0.760461504,0.623692894
524,0.985977213,0.980693054,0.759485245,0.621913221
525,0.986339616,0.981192021,0.760417129,0.622561928
526,0.986890617,0.981962867,0.759573996,0.621841701
527,0.986409878,0.981292474,0.759544412,0.620736317
528,0.986102945,0.98086636,0.761067968,0.622884225
529,0.986446858,0.981342239,0.758804822,0.619924479
530,0.986727905,0.981737692,0.759943791,0.622414555
531,0.98648014,0.981387772,0.759248576,0.621769846
532,0.986339616,0.98119317,0.760076917,0.623158775
533,0.986243468,0.981058677,0.758553361,0.618487788
534,0.986472744,0.981382708,0.759011907,0.619381366
535,0.986306334,0.981146869,0.760653798,0.622318699
536,0.986347012,0.981208136,0.760210044,0.622921077
537,0.986147321,0.980926874,0.76092005,0.623810078
538,0.98648014,0.981394023,0.760047334,0.622340178
539,0.986224978,0.981032543,0.759041491,0.620084892
540,0.986169509,0.980960914,0.759218993,0.620895244
541,0.986650248,0.981632238,0.761038385,0.62389123
