,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
167,0.986110341,0.980834583,0.756157089,0.617685939
168,0.987105101,0.982229402,0.756452925,0.617990302
169,0.985892159,0.980527269,0.755447082,0.615305861
170,0.986502328,0.98138287,0.757488351,0.618125917
171,0.986402482,0.981247163,0.757710229,0.618341954
172,0.986376596,0.981212325,0.757251683,0.618020157
173,0.986121435,0.980853311,0.758094815,0.621049217
174,0.986224978,0.980998485,0.755994379,0.616139992
175,0.986232374,0.981005199,0.756305007,0.61805958
176,0.986106643,0.980829579,0.757739812,0.618655118
177,0.986469046,0.981338393,0.756748761,0.617993449
178,0.985514964,0.979999489,0.753879151,0.612875457
179,0.98659108,0.98150868,0.756334591,0.617236332
180,0.986036381,0.980733711,0.757651061,0.619401598
181,0.986543006,0.981444182,0.75747356,0.61931739
182,0.985814501,0.980417781,0.75640855,0.617343619
183,0.986317428,0.981127071,0.754382072,0.613666504
184,0.986173207,0.980921231,0.756260632,0.61671939
185,0.986339616,0.981161519,0.755728127,0.617128814
186,0.986139925,0.980877746,0.754707492,0.614519166
187,0.986298938,0.981093949,0.755713335,0.615974887
188,0.98627675,0.981068355,0.756053546,0.616714697
189,0.986757489,0.981745146,0.754958953,0.615406045
190,0.986432066,0.981290826,0.75640855,0.618531388
191,0.986672436,0.981621059,0.75346498,0.612530513
192,0.98657259,0.981484031,0.756556468,0.618303261
193,0.986465348,0.981332245,0.757281266,0.619112834
194,0.985969817,0.980638708,0.75772502,0.619950345
195,0.98631373,0.981121296,0.755698543,0.615477743
196,0.986261958,0.981042533,0.757976481,0.620388845
197,0.986125133,0.980854408,0.757000222,0.61830855
198,0.986598476,0.981517559,0.757370017,0.619305127
199,0.986017891,0.980707904,0.756881887,0.618317774
200,0.985895857,0.980533069,0.757606686,0.618862658
201,0.986280448,0.981076835,0.755313956,0.61592756
202,0.986077059,0.980788954,0.758183566,0.620836812
203,0.986302636,0.981106475,0.757355225,0.619485038
204,0.986409878,0.981258701,0.756023963,0.615703635
205,0.985973515,0.980655559,0.75657126,0.617270169
206,0.986727905,0.981702499,0.75666001,0.619480489
207,0.986236072,0.981013498,0.754677908,0.613520378
208,0.986254562,0.981036585,0.754603949,0.613322767
209,0.986358106,0.981179628,0.75756231,0.619809789
210,0.986017891,0.980706526,0.754367281,0.613220292
211,0.986217582,0.980986925,0.756852304,0.616149823
212,0.986243468,0.981021376,0.757651061,0.619807862
213,0.986727905,0.981703245,0.757088973,0.619402985
214,0.986395086,0.981239259,0.758508986,0.621434865
215,0.986347012,0.981169222,0.757591894,0.618564379
216,0.986250864,0.981031193,0.75534354,0.615599145
217,0.986391388,0.981234638,0.757207307,0.618917162
218,0.986173207,0.980925124,0.757236891,0.617703238
219,0.98629524,0.981092416,0.756704386,0.6181987
220,0.986054871,0.980762265,0.757355225,0.618405136
221,0.986310032,0.981117447,0.757547519,0.620235861
222,0.986003099,0.980676255,0.756852304,0.618430826
223,0.985958723,0.98061974,0.75575771,0.616588492
224,0.986261958,0.981046789,0.75592042,0.615549498
225,0.986690925,0.981646838,0.757872938,0.621272067
226,0.986383992,0.981219268,0.756748761,0.618613604
227,0.986036381,0.980736856,0.758819614,0.620699281
228,0.986187999,0.980946891,0.755239997,0.615463271
