,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
110,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",120,1,auto,1.0,0.8087271651505066,1.0,0.7842752200160011,1.0,0.519712743396954,1.0,0.6251558106502015
111,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",121,1,auto,0.99999630200764,0.8083425782116708,1.0,0.7799496945742005,0.9999879529683886,0.5230865625602468,0.9999939764479113,0.626200848166633
112,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",122,1,auto,1.0,0.8059167221359367,1.0,0.7791114689306887,1.0,0.5130614999036052,1.0,0.6186975095173054
113,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",123,1,auto,1.0,0.808875083203905,1.0,0.7814050478176457,1.0,0.5237613263929053,1.0,0.6271533689222334
114,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",124,1,auto,1.0,0.808682789734487,1.0,0.7846008158508159,1.0,0.5191343743975323,1.0,0.6248404687318714
115,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",125,1,auto,1.0,0.8084313290437097,1.0,0.7808110638910898,1.0,0.5224599961442067,1.0,0.6260287026074904
116,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",126,1,auto,1.0,0.8084461208490497,1.0,0.7858085324732444,1.0,0.5166763061499904,1.0,0.6234370456528061
117,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",127,1,auto,0.99999630200764,0.8090230012573034,1.0,0.7812791615820831,0.9999879529683886,0.5245806824754193,0.9999939764479113,0.6276997606620721
118,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",128,1,auto,0.99999630200764,0.808135492936913,1.0,0.7836457801444306,0.9999879529683886,0.5177848467322151,0.9999939764479113,0.62355979916998
119,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",129,1,auto,1.0,0.8075438207233193,1.0,0.7790924175744895,1.0,0.5204839020628494,1.0,0.6240573261290416
120,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",130,1,auto,0.99999630200764,0.8077656978034169,1.0,0.7830850131463628,0.9999879529683886,0.5167727009832273,0.9999939764479113,0.6226480836236934
121,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",131,1,auto,1.0,0.8077509059980771,1.0,0.7783523665876607,1.0,0.5223154038943513,1.0,0.6251333967869401
122,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",132,1,auto,0.99999630200764,0.8080615339102137,1.0,0.7847303634232122,0.9999879529683886,0.5161943319838057,0.9999939764479113,0.6227468310268637
123,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",133,1,auto,1.0,0.8064196435174913,1.0,0.7752389164331394,1.0,0.5200019278966648,1.0,0.6224722342420309
124,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",134,1,auto,1.0,0.8088602913985652,1.0,0.7850378787878788,1.0,0.5194235588972431,1.0,0.6251885369532428
125,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",135,1,auto,1.0,0.8077952814140966,1.0,0.7784001148930059,1.0,0.5224599961442067,1.0,0.6252523504643249
126,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",136,1,auto,1.0,0.8078988240514755,1.0,0.7824852587901289,1.0,0.518074031231926,1.0,0.6234014789038712
127,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",137,1,auto,1.0,0.8083721618223504,1.0,0.7804649823652199,1.0,0.5226045883940621,1.0,0.6260211887647585
128,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",138,1,auto,1.0,0.8074106944752607,1.0,0.7827868852459017,1.0,0.5155195681511471,1.0,0.6216436126932465
129,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",139,1,auto,1.0,0.807381110864581,1.0,0.7777538107563992,1.0,0.5213514555619819,1.0,0.6242497691597415
130,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",140,1,auto,1.0,0.8089194586199245,1.0,0.7869813810291746,1.0,0.5174474648158859,1.0,0.6243675487060192
131,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",141,1,auto,0.99999630200764,0.8080911175208935,1.0,0.7804473304473305,0.9999879529683886,0.5213514555619819,0.9999939764479113,0.6251155802126676
132,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",142,1,auto,1.0,0.8080171584941942,1.0,0.7831061875956563,1.0,0.5178812415654521,1.0,0.623458760045258
133,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",143,1,auto,1.0,0.8084757044597293,1.0,0.7794897520424251,1.0,0.5242433005590901,1.0,0.6268802950838569
134,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",144,1,auto,1.0,0.8085644552917683,1.0,0.7836070338613573,1.0,0.5197609408135724,1.0,0.6249782671689365
135,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",145,1,auto,1.0,0.8080171584941942,1.0,0.7794805381682135,1.0,0.5221708116444959,1.0,0.625393251941005
136,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",146,1,auto,0.99999630200764,0.8082686191849715,1.0,0.7835810023310024,0.9999879529683886,0.5184596105648738,0.9999939764479113,0.6240283095486716
137,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",147,1,auto,1.0,0.8104725981806079,1.0,0.7845105772678379,1.0,0.5272797378060536,1.0,0.6306747758913902
138,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",148,1,auto,1.0,0.8088898750092449,1.0,0.7844890245675243,1.0,0.5201947175631386,1.0,0.6255723642265113
139,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",149,1,auto,1.0,0.8075290289179794,1.0,0.7787546843470741,1.0,0.5208212839791787,1.0,0.6241913123844731
140,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",150,1,auto,1.0,0.8084313290437097,1.0,0.7840437158469945,1.0,0.5186524002313476,1.0,0.6243146810547385
141,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",151,1,auto,1.0,0.8085496634864285,1.0,0.7825237095489757,1.0,0.5209658762290341,1.0,0.6255027342958827
142,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",152,1,auto,1.0,0.8077065305820575,1.0,0.7819094746034057,1.0,0.5178812415654521,1.0,0.6230791533777906
143,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",153,1,auto,1.0,0.8084017454330301,1.0,0.78094139695812,1.0,0.5221708116444959,1.0,0.6258629155714739
144,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",154,1,auto,1.0,0.8086088307077879,1.0,0.7836954152437695,1.0,0.5198573356468094,1.0,0.6250760627046449
145,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",155,1,auto,1.0,0.8092300865320612,1.0,0.7837368991687749,1.0,0.5226045883940621,1.0,0.6270711042998005
146,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",156,1,auto,1.0,0.8088307077878855,1.0,0.7856308411214953,1.0,0.5186042028147291,1.0,0.6247822552549065
147,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",157,1,auto,1.0,0.8081946601582723,1.0,0.7789888849049839,1.0,0.5235685367264314,1.0,0.6262358400830139
148,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",158,1,auto,1.0,0.8079136158568153,1.0,0.7827480693574239,1.0,0.5178330441488336,1.0,0.6233103208214886
149,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",159,1,auto,1.0,0.808135492936913,1.0,0.7807783955520254,1.0,0.521158665895508,1.0,0.6250830996907246
150,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",160,1,auto,1.0,0.8072627764218623,1.0,0.7818434122115103,1.0,0.5159533449007133,1.0,0.6216608594657376
151,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",161,1,auto,1.0,0.8086532061238074,1.0,0.7812095032397408,1.0,0.5229901677270098,1.0,0.6265373289450892
152,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",162,1,auto,1.0,0.8082390355742919,1.0,0.7836321235971433,1.0,0.5182668208983998,1.0,0.6239048447925732
153,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",163,1,auto,0.99999630200764,0.808786332371866,1.0,0.7809872817417547,0.9999879529683886,0.5238577212261423,0.9999939764479113,0.6270878407615751
154,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",164,1,auto,1.0,0.8087715405665261,1.0,0.784943885730943,1.0,0.5191343743975323,1.0,0.6249492312155498
155,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",165,1,auto,1.0,0.8080171584941942,1.0,0.7800850818371908,1.0,0.5214478503952188,1.0,0.6250686079094087
156,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",166,1,auto,1.0,0.8075881961393389,1.0,0.7827707145988602,1.0,0.5163389242336611,1.0,0.6222338386478481
157,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",167,1,auto,1.0,0.8087419569558465,1.0,0.7829328314997105,1.0,0.5213514555619819,1.0,0.6259113528526791
158,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",168,1,auto,1.0,0.808505288070409,1.0,0.7837503636892639,1.0,0.5193271640640061,1.0,0.6247101113172542
159,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",169,1,auto,1.0,0.8091413357000222,1.0,0.781768551109834,1.0,0.5245324850588009,1.0,0.6278231272895094
160,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",170,1,auto,0.99999630200764,0.808682789734487,1.0,0.7850992410974897,0.9999879529683886,0.5185560053981106,0.9999939764479113,0.6245791245791246
161,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",171,1,auto,1.0,0.8080171584941942,1.0,0.7800043249477402,1.0,0.5215442452284558,1.0,0.6251119262875134
162,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",172,1,auto,1.0,0.8089046668145847,1.0,0.785167917243389,1.0,0.5194717563138616,1.0,0.6252646845540246
163,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",173,1,auto,1.0,0.8094371718068191,1.0,0.7837096890556237,1.0,0.5235685367264314,1.0,0.6277557860672079
164,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",174,1,auto,1.0,0.808135492936913,1.0,0.7843510054844607,1.0,0.5169654906497012,1.0,0.6231879847776196
165,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",175,1,auto,1.0,0.8090969602840027,1.0,0.7820051783659379,1.0,0.5240505108926161,1.0,0.6275539651390972
166,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",176,1,auto,1.0,0.808505288070409,1.0,0.7850774627301959,1.0,0.5177848467322151,1.0,0.6240125464684014
167,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",177,1,auto,1.0,0.8092892537534206,1.0,0.7826556315221302,1.0,0.5241469057258531,1.0,0.6278324625465462
168,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",178,1,auto,1.0,0.8081502847422528,1.0,0.7836615609044493,1.0,0.5178330441488336,1.0,0.6235997446166347
169,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",179,1,auto,1.0,0.8085644552917683,1.0,0.7830722367275892,1.0,0.5203875072296125,1.0,0.625260597637248
