,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
99,all,109,1,auto,0.993654245,0.800769174,0.998868068,0.772919708,0.980388605,0.505513916,0.989542069,0.611250613
100,all,110,1,auto,0.993913105,0.802840027,0.998623859,0.778110397,0.981475443,0.508760204,0.989975395,0.615246947
101,all,111,1,auto,0.993824353,0.801567931,0.998807372,0.774569845,0.98100448,0.5071848,0.989825882,0.612987912
102,all,112,1,auto,0.993938991,0.802766068,0.998918201,0.777583315,0.981270152,0.509046642,0.990015534,0.615291402
103,all,113,1,auto,0.993887219,0.8018046,0.998672762,0.77692985,0.981342608,0.505466177,0.989931844,0.612465654
104,all,114,1,auto,0.993657943,0.802588566,0.998757626,0.778404512,0.980509365,0.507280279,0.989549374,0.614255159
105,all,115,1,auto,0.99401295,0.801627099,0.998832637,0.774235808,0.981596203,0.507853153,0.990139413,0.613371004
106,all,116,1,auto,0.993905709,0.802203979,0.999077616,0.778185824,0.98100448,0.505800353,0.989958567,0.613101094
107,all,117,1,auto,0.993816957,0.801375638,0.999040508,0.775845623,0.980750885,0.504797823,0.989811215,0.61163813
108,all,118,1,auto,0.994101702,0.802603358,0.998894267,0.777607362,0.981825647,0.508282809,0.990286414,0.61474061
109,all,119,1,auto,0.993909407,0.802721692,0.998795447,0.77924556,0.981294304,0.506898363,0.989967533,0.614236543
110,all,120,1,auto,0.994053628,0.801745433,0.998955402,0.777720512,0.981608279,0.504272688,0.990205872,0.611833531
111,all,121,1,auto,0.994064722,0.802307522,0.999102643,0.776755731,0.981499595,0.507948632,0.990222894,0.614230048
112,all,122,1,auto,0.994027742,0.801242512,0.998881734,0.775900073,0.981596203,0.50412947,0.990163535,0.611164164
113,all,123,1,auto,0.994201548,0.801952518,0.999041734,0.778317867,0.982006787,0.504511386,0.990451019,0.612194062
114,all,124,1,auto,0.994090608,0.802751276,0.998906486,0.778135048,0.981777343,0.508330549,0.990267847,0.614940371
115,all,125,1,auto,0.994042534,0.803268989,0.999004425,0.780376916,0.981523747,0.508044111,0.990186942,0.6154291
116,all,126,1,auto,0.994146078,0.801996894,0.999127421,0.777264393,0.981741115,0.505943572,0.990357967,0.612920016
117,all,127,1,auto,0.99416087,0.80286961,0.998882229,0.779489437,0.982030939,0.507280279,0.990384908,0.614592672
118,all,128,1,auto,0.994186756,0.801715849,0.998955864,0.776223264,0.982043015,0.505895832,0.990427242,0.612561057
119,all,129,1,auto,0.994064722,0.802588566,0.998869612,0.7782822,0.981729039,0.507423497,0.990225156,0.614322044
120,all,130,1,auto,0.99421634,0.802351897,0.99899274,0.777290341,0.982103395,0.507518976,0.990476074,0.614082717
121,all,131,1,auto,0.994316186,0.802351897,0.998968566,0.7788808,0.982453598,0.505657135,0.990642257,0.61321137
122,all,132,1,auto,0.994301394,0.802529399,0.999078828,0.778095029,0.98229661,0.507375758,0.990616646,0.614228746
123,all,133,1,auto,0.994297696,0.801612307,0.999066557,0.777001691,0.98229661,0.504511386,0.990610615,0.6117865
124,all,134,1,auto,0.994205246,0.802544191,0.999176661,0.780534633,0.981886027,0.504606865,0.990455888,0.612949056
125,all,135,1,auto,0.994186756,0.801686266,0.998833311,0.77785967,0.982163774,0.503843032,0.990428408,0.611560191
126,all,136,1,auto,0.99436426,0.80229273,0.998980982,0.779349989,0.98259851,0.504845563,0.990722026,0.6127593
127,all,137,1,auto,0.99417936,0.801878559,0.99894358,0.777215004,0.982030939,0.505466177,0.990415063,0.612554238
128,all,138,1,auto,0.994149776,0.802351897,0.998967996,0.779579801,0.981910179,0.504845563,0.990365643,0.61283032
129,all,139,1,auto,0.994168266,0.801848976,0.998894512,0.776613671,0.982043015,0.506039051,0.990397087,0.612787606
130,all,140,1,auto,0.994316186,0.803135863,0.999029842,0.780108552,0.982393218,0.507757674,0.990641687,0.615135479
131,all,141,1,auto,0.994541763,0.801819392,0.999055064,0.778663714,0.983105701,0.503508856,0.991016215,0.611562101
132,all,142,1,auto,0.994242226,0.803254197,0.998894783,0.781227012,0.982284534,0.506993842,0.990520028,0.614921398
133,all,143,1,auto,0.994360562,0.802203979,0.998858476,0.778431228,0.982707194,0.505513916,0.990717012,0.612966715
134,all,144,1,auto,0.994549159,0.802899194,0.999153094,0.779235053,0.983033245,0.507709935,0.991027623,0.614828732
135,all,145,1,auto,0.994353166,0.802499815,0.998968692,0.779577413,0.982574358,0.505513916,0.990703706,0.613321749
136,all,146,1,auto,0.994478897,0.802100436,0.999067118,0.777297377,0.982888333,0.506373228,0.990911692,0.613245454
137,all,147,1,auto,0.994497387,0.802381481,0.999030425,0.778422018,0.982984941,0.506325488,0.990942735,0.613560106
138,all,148,1,auto,0.994759945,0.80229273,0.999178176,0.779349989,0.983697424,0.504845563,0.991377369,0.6127593
139,all,149,1,auto,0.994512179,0.802736484,0.998969237,0.778525946,0.983093625,0.507805414,0.990967852,0.614677839
140,all,150,1,auto,0.99434577,0.80213002,0.999066706,0.776843183,0.982453598,0.507041581,0.99069051,0.613593691
141,all,151,1,auto,0.994538065,0.802736484,0.999140809,0.780207643,0.983009093,0.505848093,0.991009307,0.613762743
142,all,152,1,auto,0.994567649,0.803180238,0.999226671,0.780898463,0.983021169,0.507041581,0.991057678,0.614854695
143,all,153,1,auto,0.994508481,0.804156497,0.99898147,0.782991848,0.983069473,0.508998902,0.9909616,0.616942484
144,all,154,1,auto,0.994593535,0.802085645,0.999238993,0.777240419,0.983093625,0.506373228,0.99110056,0.613227727
145,all,155,1,auto,0.994571347,0.8027069,0.99904291,0.77804575,0.983214385,0.508235069,0.991065451,0.614842622
146,all,156,1,auto,0.994586139,0.801538348,0.999116445,0.777491156,0.983190233,0.503604335,0.991089362,0.611270462
147,all,157,1,auto,0.994478897,0.803180238,0.999079371,0.780857164,0.982876257,0.507089321,0.990911581,0.61487699
148,all,158,1,auto,0.994741455,0.804008579,0.9991169,0.782832366,0.983697424,0.508521507,0.991347207,0.616542224
149,all,159,1,auto,0.994571347,0.801701058,0.999189916,0.776287829,0.983069473,0.505752614,0.991064146,0.612476152
150,all,160,1,auto,0.994456709,0.803121071,0.999054797,0.781289134,0.982827953,0.506325488,0.990874946,0.614448757
151,all,161,1,auto,0.994763643,0.802795651,0.999178186,0.779572656,0.9837095,0.506850623,0.991383507,0.614303072
152,all,162,1,auto,0.994523273,0.802366689,0.999226557,0.77865119,0.982876257,0.505991311,0.990983971,0.613385804
153,all,163,1,auto,0.994700777,0.803076696,0.999214762,0.780373145,0.983467981,0.5071848,0.99127884,0.614797026
154,all,164,1,auto,0.994575045,0.804496709,0.999177672,0.782818674,0.983093625,0.510717525,0.991070396,0.61814925
155,all,165,1,auto,0.994460407,0.803550033,0.999091568,0.781465707,0.982803802,0.508044111,0.990880756,0.615767395
156,all,166,1,auto,0.994641609,0.802203979,0.999202356,0.778595072,0.983286841,0.505322958,0.991180713,0.612877077
157,all,167,1,auto,0.994704475,0.803091487,0.999116792,0.780060157,0.983576664,0.507614456,0.991285827,0.615015328
158,all,168,1,auto,0.994704475,0.802854818,0.999190273,0.779555295,0.983504208,0.50713706,0.991285191,0.614508012
159,all,169,1,auto,0.994774737,0.802943569,0.999080274,0.780516518,0.983842336,0.506420967,0.991402756,0.614279924
160,all,170,1,auto,0.994693381,0.802499815,0.999031055,0.778592913,0.983624968,0.506659665,0.991268156,0.613858523
161,all,171,1,auto,0.994630515,0.802928777,0.999067588,0.77934926,0.983383449,0.507709935,0.991163476,0.614864279
162,all,172,1,auto,0.994530669,0.800783966,0.9989693,0.775429034,0.983154005,0.502601805,0.990998558,0.609894566
163,all,173,1,auto,0.994682287,0.804481917,0.999043262,0.784258919,0.983576664,0.508998902,0.991249635,0.617335418
164,all,174,1,auto,0.994759945,0.801508764,0.999165931,0.776358297,0.9837095,0.504797823,0.991377474,0.611797379
165,all,175,1,auto,0.994782133,0.803002736,0.999153748,0.780251267,0.983794032,0.506993842,0.991414403,0.614618902
166,all,176,1,auto,0.994608327,0.80303232,0.999067519,0.781773872,0.983310993,0.505370697,0.991126637,0.613894688
167,all,177,1,auto,0.994808019,0.803254197,0.999117095,0.781268393,0.983914792,0.506946102,0.991457672,0.6148991
168,all,178,1,auto,0.994767341,0.802810443,0.998896707,0.778729322,0.983999324,0.507900893,0.991392054,0.614811176
169,all,179,1,auto,0.994763643,0.80196731,0.999153696,0.778129369,0.983733652,0.504797823,0.991383717,0.612346537
170,all,180,1,auto,0.994689683,0.802558982,0.999153488,0.778576142,0.983492132,0.506946102,0.991260954,0.614063494
171,all,181,1,auto,0.994815415,0.803017528,0.999215061,0.780185076,0.983842336,0.50713706,0.991469114,0.614703585
172,all,182,1,auto,0.994782133,0.802973153,0.999153748,0.77984883,0.983794032,0.507328018,0.991414403,0.6147394
173,all,183,1,auto,0.994785831,0.802144812,0.99911703,0.777957266,0.983842336,0.505800353,0.991420853,0.613030145
174,all,184,1,auto,0.994881979,0.801878559,0.999141789,0.777174312,0.98413216,0.505513916,0.991580177,0.612576652
175,all,185,1,auto,0.994741455,0.802115228,0.999043449,0.77915468,0.98376988,0.504272688,0.991347839,0.612276837
176,all,186,1,auto,0.994741455,0.803135863,0.999104657,0.779903254,0.9837095,0.507996372,0.991347312,0.61524674
177,all,187,1,auto,0.994685985,0.802899194,0.999141231,0.78030303,0.983492132,0.506468707,0.991254922,0.614248907
178,all,188,1,auto,0.994911563,0.802973153,0.999301017,0.780095483,0.98407178,0.507041581,0.99162793,0.614605636
179,all,189,1,auto,0.994800623,0.803298573,0.999129315,0.781358052,0.983878564,0.507041581,0.991445295,0.614997105
180,all,190,1,auto,0.994926354,0.802337105,0.999031803,0.78030751,0.984385755,0.503938511,0.991654704,0.612385787
181,all,191,1,auto,0.994830207,0.802751276,0.999386586,0.77960623,0.983721576,0.506611925,0.99149221,0.614138141
182,all,192,1,auto,0.994978126,0.802721692,0.999142062,0.780315309,0.984446135,0.505657135,0.991739659,0.613655456
183,all,193,1,auto,0.99493375,0.802677317,0.999215369,0.778583462,0.984228767,0.507471237,0.99166545,0.614450867
184,all,194,1,auto,0.994693381,0.802322313,0.999165747,0.778807265,0.983492132,0.505609395,0.991266987,0.613153477
185,all,195,1,auto,0.994811717,0.802721692,0.999092626,0.779573843,0.98395102,0.506516446,0.991464016,0.614057933
186,all,196,1,auto,0.994885677,0.80213002,0.999068376,0.778800825,0.984216691,0.504750084,0.991586926,0.61251919
187,all,197,1,auto,0.994948542,0.803180238,0.999105272,0.779828609,0.984385755,0.508282809,0.991690896,0.615433526
188,all,198,1,auto,0.994870885,0.802603358,0.999117279,0.778788323,0.984120084,0.506898363,0.991561977,0.614094445
189,all,199,1,auto,0.99506318,0.802337105,0.999252414,0.77890556,0.984615199,0.505561656,0.991879809,0.613148829
190,all,200,1,auto,0.99504469,0.803180238,0.999252369,0.780486014,0.984554819,0.507518976,0.991849148,0.615077528
